nodeId,phyId,linkIndex,devType,nodeIdFar,phyIdFar,linkIndexFar,devTypeFar
8194,02,036,0,16386,00,040,0
8194,02,038,0,16386,00,042,0
8194,02,037,0,16386,00,041,0
8194,02,035,0,16386,00,034,0
8194,02,032,0,16386,00,033,0
8194,02,034,0,16386,00,035,0
8194,02,033,0,16386,00,032,0
8197,02,050,0,16386,00,002,0
8197,02,049,0,16386,00,001,0
8197,02,051,0,16386,00,003,0
8197,02,048,0,16386,00,000,0
8197,02,054,0,16386,00,011,0
8197,02,053,0,16386,00,008,0
8197,02,055,0,16386,00,010,0
8197,02,052,0,16386,00,009,0
8197,02,058,0,16386,00,006,0
8197,02,057,0,16386,00,005,0
8197,02,059,0,16386,00,007,0
8197,02,056,0,16386,00,004,0
8197,02,062,0,16386,00,015,0
8197,02,061,0,16386,00,012,0
8197,02,063,0,16386,00,014,0
8197,02,060,0,16386,00,013,0
8197,02,047,0,16386,00,031,0
8197,02,044,0,16386,00,028,0
8197,02,046,0,16386,00,030,0
8197,02,045,0,16386,00,029,0
8197,02,043,0,16386,00,022,0
8197,02,040,0,16386,00,021,0
8197,02,042,0,16386,00,023,0
8197,02,041,0,16386,00,020,0
8197,02,039,0,16386,00,027,0
8197,02,036,0,16386,00,024,0
8197,02,038,0,16386,00,026,0
8197,02,037,0,16386,00,025,0
8197,02,035,0,16386,00,018,0
8197,02,032,0,16386,00,017,0
8197,02,034,0,16386,00,019,0
8197,02,033,0,16386,00,016,0
8194,03,050,0,16386,01,050,0
8194,03,049,0,16386,01,049,0
8194,03,051,0,16386,01,051,0
8194,03,048,0,16386,01,048,0
8194,03,054,0,16386,01,059,0
8194,03,053,0,16386,01,056,0
8194,03,055,0,16386,01,058,0
8194,03,052,0,16386,01,057,0
8194,03,058,0,16386,01,054,0
8194,03,057,0,16386,01,053,0
8194,03,059,0,16386,01,055,0
8194,03,056,0,16386,01,052,0
8194,03,062,0,16386,01,063,0
8194,03,061,0,16386,01,060,0
8194,03,063,0,16386,01,062,0
8194,03,060,0,16386,01,061,0
8194,03,047,0,16386,01,047,0
8194,03,044,0,16386,01,044,0
8194,03,046,0,16386,01,046,0
8194,03,045,0,16386,01,045,0
8194,03,043,0,16386,01,038,0
8194,03,040,0,16386,01,037,0
8194,03,042,0,16386,01,039,0
8194,03,041,0,16386,01,036,0
8194,03,039,0,16386,01,043,0
8194,03,036,0,16386,01,040,0
8194,03,038,0,16386,01,042,0
8194,03,037,0,16386,01,041,0
8194,03,035,0,16386,01,034,0
8194,03,032,0,16386,01,033,0
8194,03,034,0,16386,01,035,0
8194,03,033,0,16386,01,032,0
8197,03,050,0,16386,01,002,0
8197,03,049,0,16386,01,001,0
8197,03,051,0,16386,01,003,0
8197,03,048,0,16386,01,000,0
8197,03,054,0,16386,01,011,0
8197,03,053,0,16386,01,008,0
8197,03,055,0,16386,01,010,0
8197,03,052,0,16386,01,009,0
